code,player,club,position,xmins,tm_id,tm_name,tm_pos,tm_dob,current_injury,match_score,match_route,pos_agrees,expected_games_missed_2627,current_injury_games,seasons_of_history,career_games_missed,career_days_out,spells,first_spell,days_out_L1,days_out_L2,days_out_L3,days_illness_L1_3,days_joint_L1_3,days_muscle_L1_3,days_impact_L1_3,days_back_L1_3,days_other_L1_3
512462,Jake O'Brien,EVE,DEF,3164.0,711544,Jake O'Brien,DEF,2001-05-15,,100.0,2026/27 club squad,True,3.39,,5.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487676,Trai Hume,SUN,DEF,2668.0,515544,Trai Hume,DEF,2002-03-18,,100.0,2026/27 club squad,True,3.39,,5.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457569,Djordje Petrovic,BOU,GKP,3385.0,465555,Djordje Petrovic,GKP,1999-10-08,,100.0,2026/27 club squad,True,3.39,,5.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501902,Charlie Hughes,HUL,DEF,2673.0,746357,Charlie Hughes,DEF,2003-10-16,,100.0,2026/27 club squad,True,3.39,,4.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482973,Igor Jesus,NFO,FWD,2764.0,432164,Igor Jesus,FWD,2001-02-25,,100.0,2026/27 club squad,True,3.39,,5.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551466,Gonzalo García,FUL,FWD,2696.0,935230,Gonzalo García,FWD,2004-03-24,,100.0,2026/27 club squad,True,3.39,,4.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176420,Darnell Furlong,IPS,DEF,2775.0,351755,Darnell Furlong,DEF,1995-10-31,,100.0,2026/27 club squad,True,3.39,,5.0,4,43,1,2015-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501390,Marcelino Núñez,IPS,MID,2736.0,715558,Marcelino Núñez,MID,2000-03-01,,100.0,2026/27 club squad,True,3.39,,5.0,16,78,2,2020-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485055,Antonín Kinsky,TOT,GKP,3385.0,725912,Antonín Kinský,GKP,2003-03-13,,100.0,2026/27 club squad,True,3.39,,5.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470551,Lukás Hornícek,NEW,GKP,3374.0,629773,Lukas Hornicek,GKP,2002-07-13,,100.0,2026/27 club squad,True,3.39,,5.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
448089,João Gomes,AVL,MID,3067.0,735570,João Gomes,MID,2001-02-12,,100.0,2026/27 club squad,True,3.39,,5.0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
